,ticker,name,date,cik
0,MMM,3M,1957-03-04,0000066740
1,AOS,A. O. Smith,2017-07-26,0000091142
2,ABT,Abbott Laboratories,1957-03-04,0000001800
3,ABBV,AbbVie,2012-12-31,0001551152
4,ACN,Accenture,2011-07-06,0001467373
5,ADBE,Adobe Inc.,1997-05-05,0000796343
6,AMD,Advanced Micro Devices,2017-03-20,0000002488
7,AES,AES Corporation,1998-10-02,0000874761
8,AFL,Aflac,1999-05-28,0000004977
9,A,Agilent Technologies,2000-06-05,0001090872
10,APD,Air Products,1985-04-30,0000002969
11,ABNB,Airbnb,2023-09-18,0001559720
12,AKAM,Akamai Technologies,2007-07-12,0001086222
13,ALB,Albemarle Corporation,2016-07-01,0000915913
14,ARE,Alexandria Real Estate Equities,2017-03-20,0001035443
15,ALGN,Align Technology,2017-06-19,0001097149
16,ALLE,Allegion,2013-12-02,0001579241
17,LNT,Alliant Energy,2016-07-01,0000352541
18,ALL,Allstate,1995-07-13,0000899051
19,GOOGL,Alphabet Inc. (Class A),2014-04-03,0001652044
20,GOOG,Alphabet Inc. (Class C),2006-04-03,0001652044
21,MO,Altria,1957-03-04,0000764180
22,AMZN,Amazon,2005-11-18,0001018724
23,AMCR,Amcor,2019-06-07,0001748790
24,AEE,Ameren,1991-09-19,0001002910
25,AEP,American Electric Power,1957-03-04,0000004904
26,AXP,American Express,1976-06-30,0000004962
27,AIG,American International Group,1980-03-31,0000005272
28,AMT,American Tower,2007-11-19,0001053507
29,AWK,American Water Works,2016-03-04,0001410636
30,AMP,Ameriprise Financial,2005-10-03,0000820027
31,AME,Ametek,2013-09-23,0001037868
32,AMGN,Amgen,1992-01-02,0000318154
33,APH,Amphenol,2008-09-30,0000820313
34,ADI,Analog Devices,1999-10-12,0000006281
35,AON,Aon plc,1996-04-23,0000315293
36,APA,APA Corporation,1997-07-28,0001841666
37,APO,Apollo Global Management,2024-12-23,0001858681
38,AAPL,Apple Inc.,1982-11-30,0000320193
39,AMAT,Applied Materials,1995-03-16,0000006951
40,APTV,Aptiv,2012-12-24,0001521332
41,ACGL,Arch Capital Group,2022-11-01,0000947484
42,ADM,Archer Daniels Midland,1957-03-04,0000007084
43,ANET,Arista Networks,2018-08-28,0001596532
44,AJG,Arthur J. Gallagher & Co.,2016-05-31,0000354190
45,AIZ,Assurant,2007-04-10,0001267238
46,T,AT&T,1983-11-30,0000732717
47,ATO,Atmos Energy,2019-02-15,0000731802
48,ADSK,Autodesk,1989-12-01,0000769397
49,ADP,Automatic Data Processing,1981-03-31,0000008670
50,AZO,AutoZone,1997-01-02,0000866787
51,AVB,AvalonBay Communities,2007-01-10,0000915912
52,AVY,Avery Dennison,1987-12-31,0000008818
53,AXON,Axon Enterprise,2023-05-04,0001069183
54,BKR,Baker Hughes,2017-07-07,0001701605
55,BALL,Ball Corporation,1984-10-31,0000009389
56,BAC,Bank of America,1976-06-30,0000070858
57,BAX,Baxter International,1972-09-30,0000010456
58,BDX,Becton Dickinson,1972-09-30,0000010795
59,BRK.B,Berkshire Hathaway,2010-02-16,0001067983
60,BBY,Best Buy,1999-06-29,0000764478
61,TECH,Bio-Techne,2021-08-30,0000842023
62,BIIB,Biogen,2003-11-13,0000875045
63,BLK,BlackRock,2011-04-04,0002012383
64,BX,Blackstone Inc.,2023-09-18,0001393818
65,XYZ,"Block, Inc.",2025-07-23,0001512673
66,BK,BNY Mellon,1995-03-31,0001390777
67,BA,Boeing,1957-03-04,0000012927
68,BKNG,Booking Holdings,2009-11-06,0001075531
69,BSX,Boston Scientific,1995-02-24,0000885725
70,BMY,Bristol Myers Squibb,1957-03-04,0000014272
71,AVGO,Broadcom,2014-05-08,0001730168
72,BR,Broadridge Financial Solutions,2018-06-18,0001383312
73,BRO,Brown & Brown,2021-09-20,0000079282
74,BF.B,Brown–Forman,1982-10-31,0000014693
75,BLDR,Builders FirstSource,2023-12-18,0001316835
76,BG,Bunge Global,2023-03-15,0001996862
77,BXP,"BXP, Inc.",2006-04-03,0001037540
78,CHRW,C.H. Robinson,2007-03-02,0001043277
79,CDNS,Cadence Design Systems,2017-09-18,0000813672
80,CZR,Caesars Entertainment,2021-03-22,0001590895
81,CPT,Camden Property Trust,2022-04-04,0000906345
82,CPB,Campbell's Company (The),1957-03-04,0000016732
83,COF,Capital One,1998-07-01,0000927628
84,CAH,Cardinal Health,1997-05-27,0000721371
85,KMX,CarMax,2010-06-28,0001170010
86,CCL,Carnival,1998-12-22,0000815097
87,CARR,Carrier Global,2020-04-03,0001783180
88,CAT,Caterpillar Inc.,1957-03-04,0000018230
89,CBOE,Cboe Global Markets,2017-03-01,0001374310
90,CBRE,CBRE Group,2006-11-10,0001138118
91,CDW,CDW Corporation,2019-09-23,0001402057
92,COR,Cencora,2001-08-30,0001140859
93,CNC,Centene Corporation,2016-03-30,0001071739
94,CNP,CenterPoint Energy,1985-07-31,0001130310
95,CF,CF Industries,2008-08-27,0001324404
96,CRL,Charles River Laboratories,2021-05-14,0001100682
97,SCHW,Charles Schwab Corporation,1997-06-02,0000316709
98,CHTR,Charter Communications,2016-09-08,0001091667
99,CVX,Chevron Corporation,1957-03-04,0000093410
100,CMG,Chipotle Mexican Grill,2011-04-28,0001058090
101,CB,Chubb Limited,2010-07-15,0000896159
102,CHD,Church & Dwight,2015-12-29,0000313927
103,CI,Cigna,1976-06-30,0001739940
104,CINF,Cincinnati Financial,1997-12-18,0000020286
105,CTAS,Cintas,2001-03-01,0000723254
106,CSCO,Cisco,1993-12-01,0000858877
107,C,Citigroup,1988-05-31,0000831001
108,CFG,Citizens Financial Group,2016-01-29,0000759944
109,CLX,Clorox,1969-03-31,0000021076
110,CME,CME Group,2006-08-11,0001156375
111,CMS,CMS Energy,1957-03-04,0000811156
112,KO,Coca-Cola Company (The),1957-03-04,0000021344
113,CTSH,Cognizant,2006-11-17,0001058290
114,COIN,Coinbase,2025-05-19,0001679788
115,CL,Colgate-Palmolive,1957-03-04,0000021665
116,CMCSA,Comcast,2002-11-19,0001166691
117,CAG,Conagra Brands,1983-08-31,0000023217
118,COP,ConocoPhillips,1957-03-04,0001163165
119,ED,Consolidated Edison,1957-03-04,0001047862
120,STZ,Constellation Brands,2005-07-01,0000016918
121,CEG,Constellation Energy,2022-02-02,0001868275
122,COO,Cooper Companies (The),2016-09-23,0000711404
123,CPRT,Copart,2018-07-02,0000900075
124,GLW,Corning Inc.,1995-02-27,0000024741
125,CPAY,Corpay,2018-06-20,0001175454
126,CTVA,Corteva,2019-06-03,0001755672
127,CSGP,CoStar Group,2022-09-19,0001057352
128,COST,Costco,1993-10-01,0000909832
129,CTRA,Coterra,2008-06-23,0000858470
130,CRWD,CrowdStrike,2024-06-24,0001535527
131,CCI,Crown Castle,2012-03-14,0001051470
132,CSX,CSX Corporation,1957-03-04,0000277948
133,CMI,Cummins,1965-03-31,0000026172
134,CVS,CVS Health,1957-03-04,0000064803
135,DHR,Danaher Corporation,1998-11-18,0000313616
136,DRI,Darden Restaurants,1995-05-31,0000940944
137,DDOG,Datadog,2025-07-09,0001561550
138,DVA,DaVita,2008-07-31,0000927066
139,DAY,Dayforce,2021-09-20,0001725057
140,DECK,Deckers Brands,2024-03-18,0000910521
141,DE,Deere & Company,1957-03-04,0000315189
142,DELL,Dell Technologies,2024-09-23,0001571996
143,DAL,Delta Air Lines,2013-09-11,0000027904
144,DVN,Devon Energy,2000-08-30,0001090012
145,DXCM,Dexcom,2020-05-12,0001093557
146,FANG,Diamondback Energy,2018-12-03,0001539838
147,DLR,Digital Realty,2016-05-18,0001297996
148,DG,Dollar General,2012-12-03,0000029534
149,DLTR,Dollar Tree,2011-12-19,0000935703
150,D,Dominion Energy,2016-11-30,0000715957
151,DPZ,Domino's,2020-05-12,0001286681
152,DASH,DoorDash,2025-03-24,0001792789
153,DOV,Dover Corporation,1985-10-31,0000029905
154,DOW,Dow Inc.,2019-04-01,0001751788
155,DHI,D. R. Horton,2005-06-22,0000882184
156,DTE,DTE Energy,1957-03-04,0000936340
157,DUK,Duke Energy,1976-06-30,0001326160
158,DD,DuPont,2019-06-03,0001666700
159,EMN,Eastman Chemical Company,1994-01-01,0000915389
160,ETN,Eaton Corporation,1957-03-04,0001551182
161,EBAY,eBay Inc.,2002-07-22,0001065088
162,ECL,Ecolab,1989-01-31,0000031462
163,EIX,Edison International,1957-03-04,0000827052
164,EW,Edwards Lifesciences,2011-04-01,0001099800
165,EA,Electronic Arts,2002-07-22,0000712515
166,ELV,Elevance Health,2002-07-25,0001156039
167,EMR,Emerson Electric,1965-03-31,0000032604
168,ENPH,Enphase Energy,2021-01-07,0001463101
169,ETR,Entergy,1957-03-04,0000065984
170,EOG,EOG Resources,2000-11-02,0000821189
171,EPAM,EPAM Systems,2021-12-14,0001352010
172,EQT,EQT Corporation,2022-10-03,0000033213
173,EFX,Equifax,1997-06-19,0000033185
174,EQIX,Equinix,2015-03-20,0001101239
175,EQR,Equity Residential,2001-12-03,0000906107
176,ERIE,Erie Indemnity,2024-09-23,0000922621
177,ESS,Essex Property Trust,2014-04-02,0000920522
178,EL,Estée Lauder Companies (The),2006-01-05,0001001250
179,EG,Everest Group,2017-06-19,0001095073
180,EVRG,Evergy,2018-06-05,0001711269
181,ES,Eversource Energy,2009-07-24,0000072741
182,EXC,Exelon,1957-03-04,0001109357
183,EXE,Expand Energy,2025-03-24,0000895126
184,EXPE,Expedia Group,2007-10-02,0001324424
185,EXPD,Expeditors International,2007-10-10,0000746515
186,EXR,Extra Space Storage,2016-01-19,0001289490
187,XOM,ExxonMobil,1957-03-04,0000034088
188,FFIV,"F5, Inc.",2010-12-20,0001048695
189,FDS,FactSet,2021-12-20,0001013237
190,FICO,Fair Isaac,2023-03-20,0000814547
191,FAST,Fastenal,2008-09-15,0000815556
192,FRT,Federal Realty Investment Trust,2016-02-01,0000034903
193,FDX,FedEx,1980-12-31,0001048911
194,FIS,Fidelity National Information Services,2006-11-10,0001136893
195,FITB,Fifth Third Bancorp,1996-03-29,0000035527
196,FSLR,First Solar,2022-12-19,0001274494
197,FE,FirstEnergy,1997-11-28,0001031296
198,FI,Fiserv,2001-04-02,0000798354
199,F,Ford Motor Company,1957-03-04,0000037996
200,FTNT,Fortinet,2018-10-11,0001262039
201,FTV,Fortive,2016-07-01,0001659166
202,FOXA,Fox Corporation (Class A),2019-03-19,0001754301
