,date,ticker,name,action,cik
0,2025-08-28,IBKR,Interactive Brokers,added,
0,2025-08-28,WBA,Walgreens Boots Alliance,removed,
1,2025-07-23,HES,Hess Corporation,removed,
1,2025-07-23,XYZ,"Block, Inc.",added,
2,2025-07-18,ANSS,Ansys,removed,
2,2025-07-18,TTD,Trade Desk (The),added,
3,2025-07-09,DDOG,Datadog,added,
3,2025-07-09,JNPR,Juniper Networks,removed,
4,2025-05-19,COIN,Coinbase,added,
4,2025-05-19,DFS,Discover Financial,removed,
5,2025-03-24,BWA,BorgWarner,removed,
7,2025-03-24,CE,Celanese,removed,
5,2025-03-24,DASH,DoorDash,added,
8,2025-03-24,EXE,Expand Energy,added,
8,2025-03-24,FMC,FMC Corporation,removed,
6,2025-03-24,TFX,Teleflex,removed,
6,2025-03-24,TKO,TKO Group Holdings,added,
7,2025-03-24,WSM,"Williams-Sonoma, Inc.",added,
10,2024-12-23,AMTM,Amentum,removed,
9,2024-12-23,APO,Apollo Global Management,added,
11,2024-12-23,CTLT,Catalent,removed,
11,2024-12-23,LII,Lennox International,added,
9,2024-12-23,QRVO,Qorvo,removed,
10,2024-12-23,WDAY,"Workday, Inc.",added,
12,2024-11-26,MRO,Marathon Oil,removed,
12,2024-11-26,TPL,Texas Pacific Land Corporation,added,
13,2024-10-01,BBWI,"Bath & Body Works, Inc.",removed,
14,2024-09-30,AMTM,Amentum,added,
15,2024-09-23,AAL,American Airlines Group,removed,
17,2024-09-23,BIO,Bio-Rad Laboratories,removed,
16,2024-09-23,DELL,Dell Technologies,added,
17,2024-09-23,ERIE,Erie Indemnity,added,
16,2024-09-23,ETSY,Etsy,removed,
15,2024-09-23,PLTR,Palantir Technologies,added,
416,2024-07-08,SW,Smurfit Westrock,added,0002005951
19,2024-06-24,CMA,Comerica,removed,
19,2024-06-24,CRWD,CrowdStrike,added,
20,2024-06-24,GDDY,GoDaddy,added,
20,2024-06-24,ILMN,"Illumina, Inc.",removed,
18,2024-06-24,KKR,KKR,added,
18,2024-06-24,RHI,Robert Half,removed,
21,2024-05-08,PXD,Pioneer Natural Resources,removed,
21,2024-05-08,VST,Vistra,added,
23,2024-04-03,VFC,VF Corporation,removed,
22,2024-04-03,XRAY,Dentsply Sirona,removed,
24,2024-04-02,GEV,GE Vernova,added,
25,2024-04-01,SOLV,Solventum,added,
27,2024-03-18,DECK,Deckers Brands,added,
26,2024-03-18,SMCI,Supermicro,added,
26,2024-03-18,WHR,Whirlpool Corporation,removed,
27,2024-03-18,ZION,Zions Bancorporation,removed,
29,2023-12-18,ALK,Alaska Air Group,removed,
30,2023-12-18,BLDR,Builders FirstSource,added,
29,2023-12-18,JBL,Jabil,added,
30,2023-12-18,SEDG,SolarEdge,removed,
28,2023-12-18,SEE,Sealed Air,removed,
28,2023-12-18,UBER,Uber,added,
32,2023-10-18,ATVI,Activision Blizzard,removed,
31,2023-10-18,HUBB,Hubbell,added,
32,2023-10-18,LULU,Lululemon Athletica,added,
31,2023-10-18,OGN,Organon & Co.,removed,
33,2023-10-03,DXC,DXC Technology,removed,
34,2023-10-02,VLTO,Veralto,added,
36,2023-09-18,ABNB,Airbnb,added,
35,2023-09-18,BX,Blackstone,added,
35,2023-09-18,LNC,Lincoln National Corporation,removed,
36,2023-09-18,NWL,Newell Brands,removed,
37,2023-08-25,AAP,Advance Auto Parts,removed,
37,2023-08-25,KVUE,Kenvue,added,
38,2023-06-20,DISH,Dish Network,removed,
38,2023-06-20,PANW,Palo Alto Networks,added,
39,2023-05-04,AXON,Axon Enterprise,added,
39,2023-05-04,FRC,First Republic Bank,removed,
40,2023-03-20,FICO,Fair Isaac,added,
40,2023-03-20,LUMN,Lumen Technologies,removed,
41,2023-03-15,BG,Bunge Global,added,
42,2023-03-15,PODD,Insulet,added,
41,2023-03-15,SBNY,Signature Bank,removed,
42,2023-03-15,SIVB,SVB Financial Group,removed,
43,2023-01-05,VNO,Vornado Realty Trust,removed,
44,2023-01-04,GEHC,GE HealthCare,added,
45,2022-12-22,ABMD,Abiomed,removed,
45,2022-12-22,STLD,Steel Dynamics,added,
46,2022-12-19,FBHS,Fortune Brands Home & Security,removed,
46,2022-12-19,FSLR,First Solar,added,
47,2022-12-19,MBC,MasterBrand,removed,
48,2022-12-15,MBC,MasterBrand,added,
49,2022-11-01,ACGL,Arch Capital Group,added,
49,2022-11-01,TWTR,Twitter,removed,
